1.216, 1.253
1.217, 1.185
1.218, 1.146
1.218, 1.224
1.218, 1.345
1.218, 1.466
1.219, 1.592
1.219, 1.714
1.219, 1.825
1.219, 1.941
1.219, 2.063
1.219, 2.121
1.220, 2.179
1.220, 2.111
1.220, 2.024
1.221, 1.922
1.221, 1.810
1.222, 1.704
1.222, 1.607
1.222, 1.544
1.222, 1.607
1.223, 1.670
1.223, 1.709
1.224, 1.684
1.224, 1.743
1.224, 1.728
1.225, 1.757
1.225, 1.728
1.226, 1.747
1.226, 1.714
1.227, 1.631
1.227, 1.558
1.227, 1.636
1.228, 1.728
1.228, 1.815
1.228, 1.903
1.228, 1.941
1.228, 1.874
1.229, 1.820
1.230, 1.854
1.230, 1.854
1.231, 1.893
1.231, 1.975
1.231, 2.072
1.231, 2.145
1.232, 2.271
1.232, 2.378
1.232, 2.485
1.232, 2.591
1.232, 2.703
1.232, 2.805
1.233, 2.887
1.233, 2.955
1.233, 2.926
1.234, 2.843
1.234, 2.756
1.234, 2.669
1.234, 2.562
1.234, 2.465
1.235, 2.349
1.235, 2.252
1.235, 2.145
1.236, 2.077
1.236, 1.971
1.236, 1.888
1.237, 1.898
1.237, 1.864
1.237, 1.941
1.237, 2.024
1.238, 2.097
1.238, 2.126
1.238, 2.043
1.239, 1.975
1.239, 1.922
1.240, 1.922
1.240, 1.864
1.241, 1.917
1.241, 1.883
1.242, 1.835
1.242, 1.757
1.243, 1.694
1.243, 1.641
1.244, 1.563
1.244, 1.500
1.245, 1.447
1.246, 1.486
1.246, 1.495
1.246, 1.592
1.246, 1.675
1.247, 1.786
1.247, 1.878
1.247, 1.980
1.247, 2.063
1.247, 2.121
1.247, 2.077
1.248, 2.155
1.248, 2.237
1.248, 2.324
1.248, 2.378
1.249, 2.363
1.249, 2.446
1.249, 2.533
1.250, 2.465
1.250, 2.378
1.250, 2.271
1.250, 2.160
1.250, 2.058
1.251, 1.946
1.251, 1.840
1.251, 1.728
1.251, 1.631
1.251, 1.515
1.251, 1.398
1.252, 1.301
1.252, 1.214
1.252, 1.141
1.253, 1.107
1.253, 1.069
1.254, 1.044
1.255, 1.049
1.255, 0.991
